Fan Power ,Compressor Power ,Battery Current ,Battery Voltage ,Battery Backup Time,IT_Load, Phase Output Load Percentage,UPS Efficiency ,Accessory Load ,UPS_loose,Outdoor Temperature,Outdoor Relative humidity ,Relative Humidity  Setpoint ,Upper_RH recomm,Lower_RH recomm,IT Room humidity ,Upper_Temp recomm,Lower_Temp recomm,Temperature  Set point ,IT Room temperature ,Battery Temperature,Total_IN,PUE
777.22,2565.81,0.15,426.98,835.05,4824.1,45.60,83.81,1275.10,931.98,16.13,74.10,45,55.00,40.00,40.34,27.00,18.00,20,24.75,23.54,5756.08,15
735.11,2609.06,0.15,427.00,836.78,4816,45.53,83.51,1175.73,951.13,14.80,74.29,45,55.00,40.00,54.26,27.00,18.00,20,22.06,23.50,5767.13,14
719.34,2558.38,0.15,426.99,834.42,4827.8,45.63,83.67,1173.15,942.26,15.16,72.76,45,55.00,40.00,61.20,27.00,18.00,20,21.89,23.50,5770.06,12
754.77,2583.75,0.15,427.05,833.74,4829.9,45.66,83.68,1177.10,941.76,15.59,70.72,45,55.00,40.00,59.69,27.00,18.00,20,22.40,23.54,5771.66,13
757.49,2563.56,0.15,427.04,835.05,4823.1,45.60,83.85,1187.30,928.99,15.91,69.11,45,55.00,40.00,61.45,27.00,18.00,20,22.03,23.54,5752.09,13
759.13,2576.32,0.15,426.99,834.69,4824,45.61,83.65,1175.25,942.78,15.91,71.12,45,55.00,40.00,57.28,27.00,18.00,20,21.99,23.50,5766.78,13
749.87,2544.99,0.15,427.00,834.62,4825.5,45.63,83.54,1182.11,950.78,15.91,73.43,45,55.00,40.00,62.78,27.00,18.00,20,22.03,23.50,5776.28,12
778.40,2560.29,0.15,427.03,835.18,4821.9,45.59,83.68,1182.23,940.44,15.61,73.35,45,55.00,40.00,75.26,27.00,18.00,20,22.15,23.54,5762.34,13
731.23,2596.86,0.15,427.04,830.66,4849.5,45.84,83.42,1165.73,963.87,14.67,77.43,45,55.00,40.00,63.50,27.00,18.00,20,22.32,23.50,5813.37,13
737.89,2562.12,0.15,427.03,828.81,4860.6,45.94,83.69,1169.15,947.56,15.28,75.78,45,55.00,40.00,64.38,27.00,18.00,20,21.98,23.50,5808.16,11
734.03,2579.55,0.15,426.97,821.03,4905.2,46.32,83.78,1170.10,949.96,15.99,73.74,45,55.00,40.00,57.30,27.00,18.00,20,22.22,23.54,5855.16,11
759.00,2590.41,0.15,427.03,821.26,4902.4,46.31,83.58,1177.30,963.42,16.16,73.56,45,55.00,40.00,59.49,27.00,18.00,20,23.28,23.54,5865.82,12
743.78,2579.08,0.15,427.05,833.35,4833.7,45.66,83.63,1176.25,946.22,15.85,75.07,45,55.00,40.00,57.32,27.00,18.00,20,22.60,23.50,5779.92,13
739.17,2554.72,0.15,427.03,837.13,4812.5,45.45,83.77,1172.11,932.50,15.85,76.80,45,55.00,40.00,56.81,27.00,18.00,20,22.35,23.50,5745.00,12
752.08,2565.06,0.15,427.05,835.18,4822.5,45.58,83.64,1173.23,943.03,15.54,76.63,45,55.00,40.00,54.94,27.00,18.00,20,22.08,23.54,5765.53,13
730.02,2774.08,0.10,427.05,825.17,4883.4,46.14,83.63,1171.10,955.83,11.00,90.14,45,55.00,40.00,42.90,27.00,18.00,20,22.82,23.50,5839.23,15
715.82,2755.09,0.10,427.00,822.28,4895.3,46.27,83.99,1167.30,933.43,15.60,84.75,45,55.00,40.00,44.00,27.00,18.00,20,22.75,23.50,5828.73,14
743.09,2709.67,0.10,426.95,811.21,4962.5,46.82,82.98,1177.25,1018.09,15.29,84.00,45,55.00,40.00,42.60,27.00,18.00,20,22.48,23.54,5980.59,14
754.96,2700.94,0.10,426.99,809.47,4976.9,46.92,83.89,1147.30,955.84,13.63,80.88,45,55.00,40.00,42.50,27.00,18.00,20,22.43,23.54,5932.74,12
710.87,2888.08,0.10,426.98,805.90,4994.7,47.10,83.78,1185.25,966.71,12.88,88.50,45,55.00,40.00,38.10,27.00,18.00,20,22.65,23.50,5961.41,15
660.05,2693.76,0.10,427.04,809.66,4973.8,46.89,83.66,1172.11,971.17,11.50,89.00,45,55.00,40.00,38.10,27.00,18.00,20,22.69,23.50,5944.97,11
531.65,3092.43,0.10,427.05,824.80,4881.9,46.12,83.51,1186.36,963.97,15.13,81.00,45,55.00,40.00,38.00,27.00,18.00,20,22.27,23.54,5845.87,18
697.92,2782.80,0.10,427.04,821.30,4898.9,46.30,84.20,1172.50,919.47,14.00,77.13,45,55.00,40.00,42.90,27.00,18.00,20,21.90,21.45,5818.37,14
715.92,2745.04,0.10,426.99,820.83,4903.2,46.32,83.49,1176.43,969.83,11.00,95.25,45,55.00,40.00,43.60,27.00,18.00,20,22.00,22.34,5873.03,14
736.20,2711.54,0.10,427.00,821.08,4900.1,46.30,84.18,1178.38,920.58,13.50,88.75,45,55.00,40.00,43.10,27.00,18.00,20,22.00,23.74,5820.68,13
775.07,2696.47,0.10,427.04,819.84,4913.2,46.37,82.51,1157.08,1041.68,13.63,85.38,45,55.00,40.00,38.40,27.00,18.00,20,24.10,24.54,5954.88,15
706.23,2895.43,0.10,427.00,822.33,4897.2,46.26,84.05,1173.74,929.08,14.88,81.13,45,55.00,40.00,37.30,27.00,18.00,20,21.90,23.50,5826.28,16
677.59,2775.76,0.10,427.03,820.51,4906.9,46.36,83.63,1184.45,960.41,15.25,84.75,45,55.00,40.00,43.80,27.00,18.00,20,22.70,23.50,5867.31,14
630.28,2922.70,0.10,427.00,820.32,4908.6,46.36,83.65,1787.92,959.40,12.75,87.50,45,55.00,40.00,45.20,27.00,18.00,20,22.00,22.36,5868.00,28
787.92,2790.78,0.10,426.98,822.20,4899,46.27,83.57,1174.91,962.82,12.88,87.88,45,55.00,40.00,43.70,27.00,18.00,20,21.80,21.45,5861.82,17
720.23,2737.42,0.10,427.06,823.40,4892.2,46.22,83.65,1166.88,956.03,16.50,74.00,45,55.00,40.00,41.60,27.00,18.00,20,21.70,22.34,5848.23,14
740.95,2721.64,0.10,427.04,823.82,4889.3,46.18,83.75,11769.54,949.00,16.38,76.25,45,55.00,40.00,38.30,27.00,18.00,20,22.30,23.74,5838.30,31
781.34,2685.99,0.10,427.00,824.35,4884.2,46.16,83.94,1139.88,934.26,17.00,74.63,45,55.00,40.00,44.30,27.00,18.00,20,21.60,24.54,5818.46,13
712.87,2874.54,0.10,427.04,823.71,4887,46.19,83.54,1168.54,963.12,16.63,77.25,45,55.00,40.00,45.60,27.00,18.00,20,22.40,23.50,5850.12,17
709.69,2788.06,0.10,427.01,823.82,4886,46.18,83.64,1159.23,955.62,14.38,82.75,45,55.00,40.00,46.50,27.00,18.00,20,21.60,23.50,5841.62,15
